Country,TotalArea,LandArea,WaterArea,Highest.point,Maximum.elevation,Lowest.point,Minimum.elevation,Pop2023
South Sudan,644329,644329,0,Kinyeti,3187,White Nile,350,11088796
Chad,1284000,1259200,24800,Emi Koussi,3445,Djourab Depression,160,18278568
South Africa,1221037,1214470,4620,Mafadi,3450,"South Atlantic Ocean
Indian Ocean",0,60414495
Panama,75417,74340,1080,Volcán Barú,3475,"North Pacific Ocean
Caribbean Sea",0,4468087
Lesotho,30355,30355,0,Thabana Ntlenyana[ac],3482,Confluence of Orange River and Makhaleng River,1400,2330318
Iraq,438317,437367,950,Cheekha Dar,3611,Persian Gulf,0,45504560
Yemen,555000,555000,0,Jabal An-Nabi Shu'ayb,3666,Arabian Sea,0,34449825
New Zealand,270467,262443,4395,Aoraki / Mount Cook[ai] in the South Island,3724,"Unnamed location near Momona, Taieri Plains, Otago",-2,5228100
Japan,377976,364546,13430,Mount Fuji on Honshu,3776,Hachiro-gata on Honshu,-4,123294513
Austria,83871,82445,1426,Grossglockner,3798,Lake Neusiedl,115,8958961
Costa Rica,51100,51060,40,Cerro Chirripó,3820,"North Pacific Ocean
Caribbean Sea",0,5212173
Cameroon,475442,472710,2730,Mount Cameroon,4040,Bight of Bonny,0,28647293
Armenia,29743,28342,1401,Mount Aragats,4090,Debed,400,2777971
Malaysia,330803,329613,1190,Gunung Kinabalu on Borneo,4095,"South China Sea
Indian Ocean",0,34308525
Guatemala,108889,107159,1730,Volcán Tajumulco[u],4220,"North Pacific Ocean
Caribbean Sea",0,18092026
Mongolia,1564110,1553556,10560,Khüiten Peak,4374,Hoh Nuur,518,3447157
Rwanda,26338,24668,1670,Mount Karisimbi,4507,Ruzizi River,950,14094683
Papua New Guinea,462840,452860,9980,Mount Wilhelm,4509,South Pacific Ocean,0,10329931
Ethiopia,1104300,1000000,104300,Ras Dejen,4550,Danakil Depression,-125,126527060
Switzerland,41284,39997,1280,"Dufourspitze
(Monte Rosa)",4634,Lake Maggiore,193,8796669
Uzbekistan,447400,425400,22000,Khazret Sultan,4643,Sariqarnish Kuli[au],-12,35163944
Italy,301339,294140,7200,Monte Bianco[q],4810,Jolanda di Savoia,-3,58870763
Indonesia,1904569,1811569,93000,Puncak Jaya on New Guinea[y],4884,"Indian Ocean
South Pacific Ocean",0,277534123
Venezuela,916445,882050,30000,Pico Bolívar,4978,"Lagunillas Municipality, Zulia",-12,28838499
Uganda,241550,197100,43938,Mount Stanley (Margherita Peak),5109,Albert Nile,621,48582334
Turkey,783562,769632,13930,Mount Ararat,5137,"Mediterranean Sea
Black Sea",0,85816199
Kenya,580367,569140,11227,Mount Kenya,5199,Indian Ocean,0,55100587
Iran,1648195,1531595,116600,Damavand,5610,Caspian Sea,-28,89172767
Mexico,1964375,1943945,20430,Volcán Citlaltépetl (Pico de Orizaba)[ae],5636,Laguna Salada,-10,128455567
Russia,17098246,16378410,719836,Mount Elbrus[am],5642,Caspian Sea[an],-28,144444359
